Start	End	ConsistencyIndex	Counts	MinimumNumberChangesOnTree
5	5	0.3333333333333333	403:2	3
108	108	1	404:1	-
231	231	0.2	401:4	5
241	241	1	404:1	-
300	300	1	404:1	-
304	304	1	404:1	-
380	380	1	404:1	-
478	478	1	404:1	-
621	621	1	404:1	-
642	642	0.3333333333333333	403:2	3
855	855	1	404:1	-
869	869	1	404:1	-
882	882	1	404:1	-
902	902	1	404:1	-
907	907	1	404:1	-
1127	1127	1	404:1	-
1130	1130	1	404:1	-
1191	1191	1	404:1	-
1228	1228	1	404:1	-
1323	1323	1	404:1	-
1488	1488	0.25	402:3	4
1521	1521	1	404:1	-
1613	1613	0.125	398:7	8
1674	1674	0.2	401:4	5
1729	1729	1	404:1	-
1760	1760	1	404:1	-
1802	1802	0.5	403:2	2
1912	1912	1	404:1	-
2026	2026	1	404:1	-
2027	2027	0.5	403:2	2
